Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Clasificación
SUPOSITORIOS-CREMAS-OVULOS,7597072000234,005173,ACICLOVIR 50 MG (LABICIS) 20 GR USO TOPICO (BOOZ),2.75,0,2.75,47,2023-09-30 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906006593572,001784,ACICLOVIR 800 MG X 10 TAB (BLISTER) COLIN,3.8,0,3.8,444,2022-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,18906047594665,004454,ACICLOVIR 800 MG X 10 TABLETAS (JMW),1.8,0,1.8,359,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,7898216367399,000028,ACICLOVIR CREMA TOP 50MG/G 10G PHARLAB,1.6,0,1.6,68,,,0,,,,,,,,,,,,,,,,
TABLETAS,7592432009728,005133,ACID. FOLICO+VITAMAMINA B6+VITAMINA B12 (CARVIX) X 30 CAPSULAS VIVAX,4,0,4,54,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591519008487,004387,ACIDO ACETILSALICILICO (CALOXPIRINA) 81MG X 30TABLETAS (CALOX),3.5,0,3.5,19,2024-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591651930967,003211,ACIDO ACETILSALICILICO (CARDIPIRINA) 80 MG X 30 CAP (ZUOZ),4.9,0,4.9,239,2023-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8904307702266,003989,ACIDO ACETILSALICILICO (WELLSPRIN-81) 81 MG X 10 TAB (BLISTER) WELLONA,0.6,0,0.6,348,2024-10-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7707035510650,002742,ACIDO ACETILSALICILICO 100 MG X 10 TAB (ANGLOPHARMA) (BLISTER),0.4,0,0.4,195,2023-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,18901790680214,001497,ACIDO ACETILSALICILICO 100 MG X 10 TAB (BLISTER) CAPLIN POINT,0.22,0,0.22,1382,2023-10-06 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,6921875010755,000030,ACIDO ACETILSALICILICO 100MG X 30TAB KMPLUS,1.1,0,1.1,1221,2024-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,,005085,ACIDO ACETILSALICILICO 81 MG  (ASAPRUNI) X 100 TABLETAS UNIPHARMA,4.5,0,4.5,238,2024-01-30 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906130230497,002498,ACIDO ACETILSALICILICO 81 MG X 10 TAB (BRIX),0.42,0,0.42,35,2024-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598429000037,003675,ACIDO ACETILSALICILICO 81 MG X 10 TAB (CAJA) CAMBRIDGE,0.4,0,0.4,214,2023-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598127001046,004149,ACIDO ACETILSALICILICO 81 MG X 30 TAB (CAJA) BLUE MEDICAL,1.26,0,1.26,324,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7598455000155,004841,ACIDO ASCORBICO (BIOVIT C) 500MG/5ML I.V/ I.M AMP BIOG,0.9,0,0.9,1515,2023-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,8904159499772,001667,ACIDO ASCORBICO (VITAMINA C) 100MG/ML X 1 AMP - 10ML ADN MEDICAL,1.3,0,1.3,4581,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,8904159488974,001786,ACIDO ASCORBICO 100 MG - 5ML (AMPOLLA) COLIN,1.2,0,1.2,6149,2023-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591012070943,001574,ACIDO BORICO (VAGINAL) 400 MG X 10 CAPS LYA,2.15,0,2.15,23,2024-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,0012ACBORIFAR,001327,ACIDO BORICO 10G FARMAX (SOBRE),0.6032,0,0.6032,173,2026-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,74312114038,003998,ACIDO FOLICO (FOLATE) 666 MCG X 250 TAB (FRASCO) PURITANS,3.5,0,3.5,436,2025-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,78742499116,003532,ACIDO FOLICO (FOLATE) 666 MCG X 250 TAB (SPRING),3.5,0,3.5,439,2025-04-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601303961,005243,ACIDO FOLICO (NONAFOL) 10 MG X 20 TABLETAS (SIEGFRIED),2.2,0,2.2,72,2023-03-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601300021,005245,ACIDO FOLICO 10 MG X 20 TABLETAS MEYER,2,0,2,114,2023-01-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591020008174,002204,ACIDO FOLICO 10 MG X 30 COMP (GENCER),2.15,0,2.15,140,2027-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598833000012,004487,ACIDO FOLICO 10 MG X 30 TABLETAS (LAB. VERMA),2,0,2,524,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601301486,005246,ACIDO FOLICO 10 MG X 30 TABLETAS MEYER,2.3,0,2.3,112,2023-08-31 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,1759825210157,000036,ACIDO FOLICO 10MG/2ML I.M/I.V AMP DISTRILAB,2.1,0,2.1,2876,2024-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7702184011928,000039,ACIDO FOLICO 1MG X 10 TAB ECAR,0.3,0,0.3,1907,2023-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,,004637,ACIDO FOLICO 5 MG (BIOAFOLIC) X 10 TABLETAS (BIOVENEZUELA),0.65,0,0.65,2470,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592601300014,004273,ACIDO FOLICO 5 MG X 20  TAB  ( MEYER),2,0,2,92,2023-05-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7899095202962,004341,ACIDO FOLICO 5 MG X 20 COMPRIMIDOS (FOLONIN) GEOLAB,1,0,1,812,2023-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8904181403051,004428,ACIDO FOLICO 5MG X10 TABLETAS SAAD,0.3,0,0.3,8,2024-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591821903326,004892,ACIDO IBANDRONICO (BONAMES) 150 MG X 1 TABLETA FARMA,5,0,5,21,2023-05-12 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7705323123117,005241,ACIDO IBANDRONICO (IBANDROMET) 150 MG X 10 TABLETAS,4.85,0,4.85,24,2023-08-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598869000093,003955,ACIDO IBANDRONICO 150 MG X 1 TAB (CAJA) NIO,2.9,0,2.9,71,2024-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906082151253,004162,ACIDO MEFENAMICO 500 MG X 10 TABLETAS FARMAMED,1.1,0,1.1,49,2024-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,7597072001194,005186,ACIDO SALICILICO 1% (SALICIS) 20 GR (BOOZ),2.65,0,2.65,36,2023-07-31 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7598455000162,004840,ACIDO TRANEXAMICO (BIOTRANEX) 500MG/ 5ML AMP BIOG,1.9,0,1.9,421,2024-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7707236129217,000047,ACIDO TRANEXAMICO 500MG/5ML I.V. AMP (TAREXA) VITALIS,2.15,0,2.15,761,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7594001453000,004686,ACIDO TRICLOACETICO 80% X 15 ML (RECETTE MARK),19.488,0,19.488,16,2025-03-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598833000029,004488,ACIDO VALPROICO  500 MG X 10 TABLETAS (LAB. VERMA),1.9,0,1.9,1417,2024-08-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7591821210172,004904,ACIDO VALPROICO (VALPRO - 500 MG ) X 30 TABLETAS FARMA,13.65,0,13.65,35,2024-10-31 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7591821901971,004905,ACIDO VALPROICO (VALPRON 200MG/ML) X 30 ML FARMA,7.25,0,7.25,1,2024-08-31 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,796362600032,002517,ACIDO VALPROICO 250 MG X 10 CAP (BLISTER) MEDICK,2.15,0,2.15,387,2023-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598677000247,005047,ACIDO VALPROICO 500 MG  X 30 TABLETAS CLEO,4.9,0,4.9,181,2024-06-30 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7596347797602,004597,ACIDO VALPROICO 500 MG X 10 (VALCOPLUS) DPT,3.9,0,3.9,768,2024-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,8906130230787,004845,ACIDO VALPROICO 500 MG X 10 TABLETAS (BLISTER) BRIX,3,0,3,427,2023-06-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598252001904,004834,ACIDO VALPROICO 500 MG X 30 TABLETAS (CAJA) DISTRILAB,5.6,0,5.6,141,2024-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7598008000632,001294,ACIDO VALPROICO 500MG X 10 TAB LAND    (BLISTER),1.6,0,1.6,1183,2025-01-30 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7597189000264,004813,ACTIVITION EXTREME X 30 CAPSULAS BLANDAS (PHARMATECH),9.5,0,9.5,13,2024-02-28 00:00:00,,0,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES- OTROS,7592601100010,004274,A-D- VIT RECALCIFICANTE SUSP 240 ML  (SIEGFRIED),7.5,0,7.5,54,2023-03-31 00:00:00,,0,,,,,,,,,,,,,,,,
SUPOSITORIOS-CREMAS-OVULOS,8904091148011,000052,ADAPNE 0.1% GEL TOPICO 30G GLENMARK,2.8,0,2.8,120,2023-09-01 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592710000843,003526,ADELGASEN (ADELGAZANTE) 400 MG X 60 CAP (FRASCO) HERBAPLANT,8.2,0,8.2,21,2024-11-24 00:00:00,,0,,,,,,,,,,,,,,,,
TABLETAS,7592710003707,005141,ADELGASEN 400 MG X 30 CAPSULAS (HERBA),5.2,0,5.2,35,2024-08-17 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,ADHESJOR,003137,ADHESIVO (TELA) 5 CM X 5 YARDS X 5 ROLLOS (JORVAN),8.4,0,8.4,3,2026-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,796029455289,004993,ADHESIVO DE PLASTICO TRANSPARENTE 2.54 CM X 4.57 M (BRIUT),0.986,0,0.986,97,2026-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,723592772673,004994,ADHESIVO DE TELA BLANCO 2.54 CM X 4.57 M (BRIUT),1.508,0,1.508,2,2026-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,723592772703,004995,ADHESIVO DE TELA BLANCO 5.08 CM X 9.14 M (BRIUT),4.872,0,4.872,77,2026-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,1.30707387007448e+18,003442,ADHESIVO DURAPORE (7.6 CM X 9.1 M) 3 IN X 10 YD X 1 TELA (3M),11.02,0,11.02,89,2024-03-31 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,7702098031333,000060,"ADHESIVO MICROPORE  2"" X 10 YDS X 1 COLOR PIEL (3M)",3.016,0,3.016,72,2026-10-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,7702098400900,000057,"ADHESIVO MICROPORE COLOR PIEL 1"" X 10YDS X1 COLOR PIEL (3M)",1.6,0,1.6,75,2022-04-08 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7597297000385,004670,ADHESIVO NON-WOVEN (COLOR PIEL) ZUVISS 1.25 CMX9.1M,1.392,0,1.392,128,2027-07-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7597297000392,004671,ADHESIVO NON-WOVEN (COLOR PIEL) ZUVISS 2.5 CMX9.1M,2.03,0,2.03,69,2026-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,6224000132767,001602,ADHESIVO PAPEL PHARMAMED  (5 CM X 5 M) X UND PHARMAPLAST,2.61,0,2.61,1162,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,6223003734589,004043,ADHESIVO PAPEL PHARMAMED (1.25 CM X 4.55 M) X UND PHARMAPLAST,0.348,0,0.348,342,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,6223003731908,001601,ADHESIVO PAPEL PHARMAMED (2.5 CM X 4.55 M) X UND PHARMAPLAST,1.914,0,1.914,669,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,7594001564102,001995,ADHESIVO PLASTICO AIROPLAST (1.25CM X 5M) X UND  PHARMAPLAST,0.58,0,0.58,307,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,6224000549909,001600,ADHESIVO PLASTICO AIROPLAST (2.5 CM X 5 M) X UND PHARMAPLAST,1.044,0,1.044,204,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,7597478000401,005277,ADHESIVO QUIRURGICO 2.5CM X 5 YDS (GDG),0.696,0,0.696,360,2026-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,7597478000418,004448,ADHESIVO QUIRURGICO PIEL 5CM X 5 YDS (GDG),1.334,0,1.334,180,2026-11-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7597297000354,004675,ADHESIVO TELA  ZUVISS 1.25CMX9.1M,1.624,0,1.624,35,2026-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7597297000378,004677,ADHESIVO TELA  ZUVISS 5CMX9.1M,4.002,0,4.002,70,,,0,,,,,,,,,,,,,,,,
MMQ,6223003733506,003103,ADHESIVO TELA SILK PLAST 1.25 X 5 M PHARMAPLAST,1.044,0,1.044,838,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MMQ,6224000132422,001598,ADHESIVO TELA SILKPLAST (2.5 CM X 5 M) X UND PHARMAPLAST,2.03,0,2.03,1236,2025-02-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7597297000323,004672,ADHESIVO TRANSPARENTE  ZUVISS 1.25CMX9.1M,1.276,0,1.276,57,2026-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7597297000330,004673,ADHESIVO TRANSPARENTE  ZUVISS 2.5CMX9.1M,1.74,0,1.74,51,2026-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
MISCELANEOS,7597297000347,004674,ADHESIVO TRANSPARENTE  ZUVISS 5CMX9.1M,2.784,0,2.784,70,2026-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,7591096001499,000062,ADRENALINA (EPINEFRINA) 1 MG/ML (AMP) BIOSANO,0.65,0,0.65,161,2023-05-01 00:00:00,,0,,,,,,,,,,,,,,,,
AMPOLLA Y SOLUCIONES,1.74637193535854e+18,003177,ADRENALINA 1 MG / 1 ML I.V/ I. C (SOL INY) MEDEK,0.35,0,0.35,192,2024-01-01 00:00:00,,0,,,,,,,,,,,,,,,,
