Product,Cod. Bar,F.Price,Date,Qty,Drog
ALCACHOFA CAP 300MG X 90 ARCO IRIS  ,7592946005711,18.351,14/06/2022,,Cobeca
ALCACHOFA/CENTELLA CAP 350MG X 60 HE,7592710000355,23.67,05/06/2022,,Cobeca
ALDUZOL AMP 2.5 MG P/NEBULIZAR X 12 ,7468999198642,41.99,14/06/2022,,Cobeca
ALERGOT SOL OFT 0.05 % X 5 ML       ,7591196002693,23.94,14/06/2022,,Cobeca
ALFADYN SOL OFT 0.20 % X 5 ML       ,7591196003430,40.4,14/06/2022,,Cobeca
ALGIOL COMP 5 MG X 10               ,7592803003966,11.04,15/05/2022,,Cobeca
ALGIOL COMP 5 MG X 30               ,7592803003973,22.99,15/05/2022,,Cobeca
ALGOREN TAB 10 MG X 20              ,7592806133011,11.04,15/05/2022,,Cobeca
ALGOREN TAB 40 MG X 20              ,7592806133028,17.66,15/05/2022,,Cobeca
ALIPAL FORTE CAP DIA/NOC X 6.       ,7591243801620,12.34,15/05/2022,,Cobeca
ALIVAX FORTE CAP/BL DISP  650 MG X 2,7592432000084,123.405,14/06/2022,,Cobeca
ALIVAX FORTE CAP/BLD 650 MG X 10    ,7592432010335,11.827499999999999,14/06/2022,,Cobeca
ALIVERIUM CAPB 100/300 MG X 10      ,7598431000056,18.513,15/05/2022,,Cobeca
ALIVET COM X 8 DIA / X 4 NOCHE      ,7591585116000,16.1952,05/06/2022,,Cobeca
ALIVET JBE 125 MG/0.5MG X 120 ML    ,7591585216755,18.2496,05/06/2022,,Cobeca
ALIVETNOC FORTE GRAN SOB X 6        ,7591585116673,20.04,05/06/2022,,Cobeca
ALLERFEX TAB REC 120 MG X 10        ,7703763722686,15.96,14/06/2022,,Cobeca
ALLIXON NARANJA FCO 240 ML          ,7591585112439,10.1745,05/06/2022,,Cobeca
ALOPURINOL TAB 100 MG X 30 ANG      ,7598176000137,12.94,14/06/2022,,Cobeca
ALOPURINOL TAB 100 MG X 30 KIMICEG  ,7592616576893,14.016499999999999,14/06/2022,,Cobeca
ALPRAM TAB 0.5 MG X 30              ,7591020005296,11.71,02/06/2022,,Cobeca
ALPRAM TAB 1 MG X 30                ,7591020005302,16.7,02/06/2022,,Cobeca
ALPRAMACK TAB/REC 1 MG X 30         ,7591519317824,11.745000000000001,15/05/2022,,Cobeca
ALRES FORTE PVO P/SOL X 6 SOB       ,7591062000105,17.64,15/05/2022,,Cobeca
ALSART CAP 160 MGS X 10             ,7592601201045,17.888499999999997,05/06/2022,,Cobeca
ALSART CAP 80 MGS X 10              ,7592601201021,12.958,05/06/2022,,Cobeca
ALSART CAP 80 MGS X 30              ,7592601201038,27.1415,05/06/2022,,Cobeca
ALURON TAB 100 MG X 30              ,7592806133042,18.18,15/05/2022,,Cobeca
AMARYL COM 2 MG X 15                ,3664798033540,25.34,15/05/2022,,Cobeca
AMARYL COM 4 MG X 15                ,3664798033557,37.6,15/05/2022,,Cobeca
AMARYL M TAB 2MG/1G X 16            ,7501165006072,45.35,15/05/2022,,Cobeca
AMBROXOL JBE ADU 30 MG X 120 ML LA S,7592454120302,17.96,14/06/2022,,Cobeca
AMBROXOL JBE PED 15 MG/120 ML LA SAN,7592454120203,13.82,14/06/2022,,Cobeca
AMBROXOL JBE PED 15 MG/5ML X120 ML C,7703153020064,17.6346,14/06/2022,,Cobeca
AMBROXOL SOL ORAL 30MG/5ML X 120ML B,7594000850923,11.6,15/05/2022,,Cobeca
AMBROXOL SOL PED 15 MG/5 ML X 120 ML,7594000850909,11.4,15/05/2022,,Cobeca
AMIKACINA AMP 500 MG X 1 RONAVA     ,7592806112030,9.87,15/05/2022,,Cobeca
AMIKACINA INY 500 MG X 2 ML GENVEN  ,7591585171740,11.12,05/06/2022,,Cobeca
AMIKACIS CREM 5% X 20 G             ,7597072001262,9.3,15/05/2022,,Cobeca
AMIKANDIL AMP 500 MG X 1 RONAVA     ,7592806112153,9.87,15/05/2022,,Cobeca
AMIODARONA COM 200 MG X 10 GENCER   ,7591020003131,23.42,02/06/2022,,Cobeca
AMIODARONA TAB 200 MG X 10 BIOTECH  ,7591243801750,25.05,15/05/2022,,Cobeca
AMITAFEN FORTE TAB 650 MG X 14      ,7591519006674,6.818,14/06/2022,,Cobeca
AMLODIPINA COM 10 MG X 10 GENVEN    ,7591585178176,2.0940000000000003,05/06/2022,,Cobeca
AMLODIPINA COM 10 MG X 30 GNV       ,7591585278173,6.1434999999999995,05/06/2022,,Cobeca
AMLODIPINA TAB 10 MG X 10 CLX       ,7591519001358,4.5225,14/06/2022,,Cobeca
AMLODIPINA TAB 10 MG X 10 LA SANTE  ,7592454886994,5.53,14/06/2022,,Cobeca
AMLODIPINA TAB 10 MG X 20 KIMI      ,7592616014029,3.74,14/06/2022,,Cobeca
AMLODIPINA TAB 10 MG X 30 ALESS     ,7597758000763,8.184000000000001,05/06/2022,,Cobeca
AMLODIPINA TAB 10 MG X 30 BLUE      ,7598127001466,8.181,15/05/2022,,Cobeca
AMLODIPINA TAB 10 MG X 30 BUKA      ,675696260115,7.79,19/06/2022,,Cobeca
AMLODIPINA TAB 10 MG X 30 CLX       ,7591519001648,7.0729999999999995,14/06/2022,,Cobeca
AMLODIPINA TAB 10 MG X 30 LA SANTE  ,7592454889568,15.19,14/06/2022,,Cobeca
AMLODIPINA TAB 5 MG X 10 CLX        ,7591519001334,3.409,14/06/2022,,Cobeca
AMLODIPINA TAB 5 MG X 10 LA SANTE   ,7592454887014,5.53,14/06/2022,,Cobeca
KELP-LECITHIN B-6 TAB X 30          ,7597189000127,29.872000000000003,14/06/2022,,Cobeca
AMLODIPINA TAB 5 MG X 100 GMP       ,7598252101239,15.572000000000001,29/05/2022,,Cobeca
AMLODIPINA TAB 5 MG X 30 ALESS      ,7597758000756,7.536,05/06/2022,,Cobeca
AMLODIPINA TAB 5 MG X 30 KIMICEG    ,7592616013039,11.82,14/06/2022,,Cobeca
AMLODIPINA TAB 5 MG X 30 LA SANTE   ,7592454889575,15.19,14/06/2022,,Cobeca
AMLODIPINO TAB 10 MG X 10 GENFAR    ,7702605100446,4.25,15/05/2022,,Cobeca
AMLODIPINO TAB 5 MG X 10            ,7702605100392,2.5925,15/05/2022,,Cobeca
ZINC TAB 25 MG X 30                 ,7591818000281,31.176,14/06/2022,,Cobeca
AMLODIPINO TAB 5 MG X 300 LAPROFF   ,7703038067429,89.0684,15/05/2022,,Cobeca
AMLODIPINO TAB ADU 5 MG X 30 CCM    ,7501384505318,10.6,05/06/2022,,Cobeca
AMLOTAN TAB 5 MG X 30               ,8903489001761,11.691,15/05/2022,,Cobeca
AMOKLAVIN-BID PVO SUSP 400MG/57MGX70,8699525282507,33.29,15/05/2022,,Cobeca
AMOKLAVIN-BID TAB 1000 MG X 14      ,8699525093189,47.08,15/05/2022,,Cobeca
AMOXICILINA A/CLAV TAB 875/125MG X 1,781159319754,48.05,15/05/2022,,Cobeca
AMOXICILINA CAP 500 MG X 10         ,7597285000083,7.71,15/05/2022,,Cobeca
AMOXICILINA CAP 500 MG X 100 ALFA BL,7468999180357,160.08,29/05/2022,,Cobeca
AMOXICILINA CAP 500 MG X 12 LA SANTE,7703763070282,16.44,14/06/2022,,Cobeca
AMOXICILINA CAP 500 MG X 6 LA SANTE ,7703763070299,9.68,14/06/2022,,Cobeca
AMOXIDUO COM 875 MG X 14            ,7795345011219,40.26,14/06/2022,,Cobeca
AMOXIDUO PVO SUSP 750 MG X 70 ML    ,7795345010977,38.96,14/06/2022,,Cobeca
AMOXIVAL PVO SUSP 750 MG/5 ML X 70 M,7591020008082,36.650600000000004,02/06/2022,,Cobeca
AMOXIVAL TAB/REC 875 MG X20         ,7591020080613,52.78,02/06/2022,,Cobeca
"AMTACILYN AMP IV/IM 1,5 G X 1       ",75971304,5.841,05/06/2022,,Cobeca
ANALPER FEM PLUS TAB 200 MG/10MG X10,7592454003063,10.752,14/06/2022,,Cobeca
ANALPER FORTE TAB 650 MG X 10       ,7592454000802,3.894,14/06/2022,,Cobeca
ANALPER JBE PED 150 MG/5ML X 120 ML ,7592454003117,12.43,14/06/2022,,Cobeca
ANALPER NAX CAP 250 MG X 10         ,7592454000789,11.05,14/06/2022,,Cobeca
ANALPER PLUS TAB 500 MG X 10        ,7592454000796,16.439,14/06/2022,,Cobeca
AMLODIPINA COM 5 MG X 30 GENVEN     ,7591585278166,9.328,05/06/2022,,Cobeca
ANALPER/CAFEINA TAB 500/40MG X 10   ,7592454001212,9.74,14/06/2022,,Cobeca
ANAMU MAPURITE CAP 400 MG X 60      ,7592710000362,18.387,05/06/2022,,Cobeca
ANANTY FORTE JBE PED 160 MG/5 ML X 1,7594001101581,8.58,14/06/2022,,Cobeca
ANAPIR CAP/BLD S/AZUCAR 400 MG X 10 ,7593090001024,11.2344,05/06/2022,,Cobeca
ANAPIR CAPB 200MG X 10              ,7593090000157,6.51,05/06/2022,,Cobeca
ANAPIR TAB 200 MG X 100             ,7593090001390,45.7746,05/06/2022,,Cobeca
PAPAYA TAB MASTICABLE    X 30       ,7597189000202,24.8,15/05/2022,,Cobeca
ANAPIR TAB 200 MG X 20              ,7593090001383,11.2902,05/06/2022,,Cobeca
CALCIFOR CAP/BLD EXTRA D X 30       ,7597189295189,31.695999999999998,14/06/2022,,Cobeca
ANAPIR TAB 400 MG X 20              ,7593090001376,16.2564,05/06/2022,,Cobeca
ANAPIR TAB 600 MG X 10              ,7593090001314,12.062100000000001,05/06/2022,,Cobeca
ANASMOL COM 2.5 MG X 30             ,7591955003084,22.08,14/06/2022,,Cobeca
ANASMOL COM 5 MG X 30               ,7591955003091,36.36,14/06/2022,,Cobeca
LOSARTAN POTASICO TAB ADU 50 MG X 30,7502226294766,6.736,05/06/2022,,Cobeca
ANASTROZOL TAB 1 MG X 28 PSIC       ,7501384548513,50.69,05/06/2022,,Cobeca
ANGIOVAN COM 10 MG X 10             ,7594000490051,6.49,14/06/2022,,Cobeca
ANGRIP COM DIA 500 MG X 8           ,7591619518978,10.39,14/06/2022,,Cobeca
ANGRIP COM NOCHE 500 MG X 4         ,7591619518985,9.09,14/06/2022,,Cobeca
LEVOTIROXINA SOD TAB 50 MCG X 50 ALE,7597758000480,13.080000000000002,05/06/2022,,Cobeca
ANIS ESTRELLADO 5 G X 15            ,7592141000214,123.7,15/05/2022,,Cobeca
ANTAAR TAB 2.5 MG/6.25 MG X 30      ,7591519317367,24.56,14/06/2022,,Cobeca
ANTAAR TAB/REC 10 MG X 10           ,7591519317732,11.048,14/06/2022,,Cobeca
ANTAAR TAB/REC 10 MG X 30           ,7591519051902,23.7975,14/06/2022,,Cobeca
"ANTAAR TAB/REC 2,5 MG X 10          ",7591519317718,6.507000000000001,14/06/2022,,Cobeca
ANTAAR TAB/REC 2.5 MG X 30          ,7591519051872,14.959999999999999,14/06/2022,,Cobeca
ANTAAR TAB/REC 5 MG X 10            ,7591519317725,9.352,14/06/2022,,Cobeca
ANTAAR TAB/REC 5 MG X 30            ,7591519051896,21.041999999999998,14/06/2022,,Cobeca
ANTI STRESS GTA RECETT 30 ML        ,7594001450733,6,15/05/2022,,Cobeca
ANTIFOM FORTE COMP/REC 160 MG X 10  ,7592349001068,28.79,15/05/2022,,Cobeca
ANTILAX TAB 2 MG X 10               ,7591821102095,7.84,14/06/2022,,Cobeca
ANTUX SOL 0.6% X 180 ML             ,7591585214706,55.55,05/06/2022,,Cobeca
APETININ JBE 240 ML                 ,7592946005742,19.773,14/06/2022,,Cobeca
APIRET SUSP ORAL 180 MG/5ML X 60 ML ,7591196007155,5.99,14/06/2022,,Cobeca
APLACAL TAB/MAST 750 MG BANANA X 10 ,7592601303176,13.64,05/06/2022,,Cobeca
APLACAL TAB/MAST 750 MG FRAMBUESA X ,7592601303145,13.64,05/06/2022,,Cobeca
APLACAL TAB/MAST 750 MG MANDARINA X ,7592601303169,13.64,05/06/2022,,Cobeca
APLACAL TAB/MAST 750 MG MENTA X 10  ,7592601303152,13.64,05/06/2022,,Cobeca
APLACAL TAB/MAST DISP 750MG MANDAR X,7592601000037,110.9,05/06/2022,,Cobeca
APOSITOS BRIUTCARE CIRCULARES X 100 ,742033994696,7.427,15/05/2022,,Cobeca
APOSITOS BRIUTCARE MIXTOS X 20      ,742033994702,4.25,15/05/2022,,Cobeca
METFORMINA TAB/REC 850 MG X 300 LAPR,7703038050377,108.9862,15/05/2022,,Cobeca
APYRENE CAP/BLD 650 MG X 10         ,7593090000034,7.628499999999999,05/06/2022,,Cobeca
ARANDA CAP 2.5 MG/50 MG X 12        ,7591821210240,15.43,14/06/2022,,Cobeca
ARANDA CAP 2.5 MG/50 MG X 30        ,7591821904385,37.01,14/06/2022,,Cobeca
ARANDA CAP 5 MG/100 MG X 12         ,7591821210257,21.6,14/06/2022,,Cobeca
ARANDA CAP 5 MG/100 MG X 30         ,7592229004370,52.44,14/06/2022,,Cobeca
ARANDANO NEGRO CAP 343 MG X 60      ,7592710000379,23.660999999999998,05/06/2022,,Cobeca
ARBIXIL JBE ADU X 120 ML            ,7592601100126,18.57,05/06/2022,,Cobeca
ARBIXIL SOL GTA PED 7.5MG/5MCG 15M  ,7592601100683,10,05/06/2022,,Cobeca
ARCOVAL TAB/REC 60 MG X 7           ,7591020009157,11.394,02/06/2022,,Cobeca
ARESAN TAB 20 MG X 150              ,7591243802061,140.62,15/05/2022,,Cobeca
ARESAN TAB/REC 20 MG X 30           ,7591243802092,21.483,15/05/2022,,Cobeca
ARGENZIL CREM 1 %                   ,7730512630367,34.21,15/05/2022,,Cobeca
ARTENOLOL TAB 100 MG X 30           ,7592806133066,14.55,15/05/2022,,Cobeca
ARTRISAN CAP 300 MG X 90            ,7592946000013,18.351,14/06/2022,,Cobeca
ARTRITES SOL INY 75 MG/ 3 ML X 5 MEY,7707355052083,85.253,05/06/2022,,Cobeca
ARTRODAR CAP 50 MG X 30             ,7591585213402,48.006,05/06/2022,,Cobeca
ARTYPLANT CAP 400 MG X 30           ,7592710003721,19.989,05/06/2022,,Cobeca
ARTYPLANT CAP 400 MG X 60           ,7592710000386,31.554000000000002,05/06/2022,,Cobeca
ARUDIL TAB 15 MG X 10               ,7591821210011,40.91,14/06/2022,,Cobeca
ARUDIL TAB 15 MG X 30               ,7591821210561,114.42,14/06/2022,,Cobeca
ARUDIL TAB/REC 20 MG X 10           ,7591821210028,57.96,14/06/2022,,Cobeca
ARUDIL TAB/REC 20 MG X 30           ,7591821210578,161.54,14/06/2022,,Cobeca
ASAPROL COM 81 MG X 100             ,7591585261236,32.687999999999995,05/06/2022,,Cobeca
ASARAP COMP/REC 10 MG X 20          ,7591585113351,59.024,05/06/2022,,Cobeca
ASARAP COMP/REC 15 MG X 20          ,7591585113337,65.792,05/06/2022,,Cobeca
ASARAP COMP/REC 20 MG X 20          ,7591585113344,92.99199999999999,05/06/2022,,Cobeca
ASCAFYL GRA X 10                    ,7592601100140,9.09,05/06/2022,,Cobeca
ASCAFYL PLUS TAB X 10               ,7592601100676,10.39,05/06/2022,,Cobeca
ASCAFYL-SC GTA X 15 ML              ,7592601301776,9.74,05/06/2022,,Cobeca
ASMABRON AER INH 125MCG/25MCG X120 D,7798050062545,71.83,14/06/2022,,Cobeca
ASMABRON AER INH 250MCG/25MCG X120 D,7798050062552,97.92,14/06/2022,,Cobeca
ATAMEL FORTE TAB 650 MG X 10        ,7591257000552,17.4,02/06/2022,,Cobeca
ATAPEC TAB 100 MG X 30              ,7593090001529,65.1415,05/06/2022,,Cobeca
ATENOLOL CAP 50 MG 10 X 10 BLI      ,7460828579387,28.14,14/06/2022,,Cobeca
ATENOLOL TAB 100 MG X 30 BLUE       ,7598127001480,10.638,15/05/2022,,Cobeca
ATENOLOL TAB 100 MG X 30 LA SANTE   ,7703763090358,19.48,14/06/2022,,Cobeca
ATENOLOL TAB 50 MG X 30 BUKA        ,675696259966,7.79,19/06/2022,,Cobeca
ATENOLOL TAB 50 MG X 30 KIMI        ,7592616011028,17.14,14/06/2022,,Cobeca
ATENOLOL TAB 50 MG X 30 LA SANTE    ,7703763090341,19.34,14/06/2022,,Cobeca
ATODIP TAB/REC 5 MG/20 MG X 30 VALMO,7591020080774,19.0855,02/06/2022,,Cobeca
ATORVACOF TAB 20 MG X 14 COF        ,7591818210512,4.161,14/06/2022,,Cobeca
ATORVASTAINA TAB/REC 20 MG X 50 LAPR,7703038067597,35.8422,15/05/2022,,Cobeca
ATORVASTATINA COM 20 MG X 10 GENVEN ,7591585173447,5.130000000000001,05/06/2022,,Cobeca
ATORVASTATINA COM/REC 20MG X 30 GNV ,7591585373441,16.064999999999998,05/06/2022,,Cobeca
